iteration,startX,startY,goalX,goalY,algorithm,heuristic,map,width,height,size,density,distance,blocked,nodesExpanded,nodesGenerated,nodesVisited,nodesExcluded,jumpPoints,jumpPointChecks,jumpCalls,foundGoal,steps,time
32,60,93,27,119,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,59.0,6697,118,201,119,118,0,0,0,true,93,0.399
32,60,93,27,119,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,59.0,6697,68,93,69,68,93,319,362,true,92,0.316
33,20,121,112,107,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,106.0,6697,1273,1374,1274,1273,0,0,0,true,197,3.913
33,20,121,112,107,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,106.0,6697,751,793,752,751,793,2408,4386,true,200,3.256
34,92,124,120,69,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,83.0,6697,575,667,576,575,0,0,0,true,135,1.799
34,92,124,120,69,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,83.0,6697,340,365,341,340,365,1100,1857,true,135,1.194
35,16,83,69,70,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,66.0,6697,621,705,622,621,0,0,0,true,123,1.812
35,16,83,69,70,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,66.0,6697,340,379,341,340,379,1173,1913,true,122,1.203
36,17,76,99,107,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,113.0,6697,574,685,575,574,0,0,0,true,165,1.71
36,17,76,99,107,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,113.0,6697,267,326,268,267,326,1140,1661,true,145,1.12
37,81,7,46,70,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,98.0,6697,814,933,815,814,0,0,0,true,157,2.504
37,81,7,46,70,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,98.0,6697,483,535,484,483,535,1564,2668,true,157,2.715
38,71,103,95,99,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,28.0,6697,142,177,143,142,0,0,0,true,55,0.453
38,71,103,95,99,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,28.0,6697,79,93,80,79,93,302,445,true,52,0.307
39,8,53,67,48,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,64.0,6697,441,526,442,441,0,0,0,true,123,1.337
39,8,53,67,48,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,64.0,6697,243,284,244,243,284,892,1386,true,121,0.893
