iteration,startX,startY,goalX,goalY,algorithm,heuristic,map,width,height,size,density,distance,blocked,nodesExpanded,nodesGenerated,nodesVisited,nodesExcluded,jumpPoints,jumpPointChecks,foundGoal,steps,time
33,210,94,128,142,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,130.0,34038,67,93,68,67,93,3093,true,184,2.245
34,65,164,82,109,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,72.0,34038,226,366,227,226,0,0,true,123,0.925
34,65,164,82,109,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,72.0,34038,17,33,18,17,33,1294,true,76,0.707
35,248,147,170,159,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,90.0,34038,1971,2288,1972,1971,0,0,true,705,7.385
35,248,147,170,159,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,90.0,34038,78,105,79,78,105,4170,true,385,2.172
36,56,146,120,1,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,209.0,34038,3055,3411,3056,3055,0,0,true,339,13.147
36,56,146,120,1,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,209.0,34038,161,204,162,161,204,6188,true,207,5.302
37,247,145,114,138,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,140.0,34038,1534,1909,1535,1534,0,0,true,697,5.784
37,247,145,114,138,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,140.0,34038,83,126,84,83,126,4542,true,404,2.342
38,210,89,148,107,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,80.0,34038,1482,1708,1483,1482,0,0,true,337,7.872
38,210,89,148,107,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,80.0,34038,63,88,64,63,88,3349,true,199,1.786
39,81,169,196,94,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,190.0,34038,328,633,329,328,0,0,true,259,1.467
39,81,169,196,94,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,190.0,34038,41,68,42,41,68,2214,true,164,1.246
